"Email","Art der Zuwendung","Eingangsdatum","Gesamtbetrag","Herkunft","Betragsstatus"
"roleder@ruch.com","allgemeine Spende","2010-10-17","150,00","Fakedaten_2013-04-30","Completed"
"roleder@ruch.com","allgemeine Spende","2013-04-21","58,00","Fakedaten_2013-04-30","Completed"
"roleder@ruch.com","allgemeine Spende","2012-05-30","200,00","Fakedaten_2013-04-30","Completed"
"roleder@ruch.com","allgemeine Spende","2010-10-19","144,00","Fakedaten_2013-04-30","Completed"
"roleder@ruch.com","allgemeine Spende","2011-08-07","180,00","Fakedaten_2013-04-30","Completed"
"roleder@ruch.com","allgemeine Spende","2013-01-08","144,00","Fakedaten_2013-04-30","Completed"
"roleder@ruch.com","allgemeine Spende","2009-06-21","122,00","Fakedaten_2013-04-30","Completed"
"roleder@ruch.com","allgemeine Spende","2011-03-12","86,00","Fakedaten_2013-04-30","Completed"
"roleder@ruch.com","allgemeine Spende","2008-06-04","86,00","Fakedaten_2013-04-30","Completed"
"roleder@ruch.com","allgemeine Spende","2008-08-24","120,00","Fakedaten_2013-04-30","Completed"
"roleder@ruch.com","allgemeine Spende","2011-12-16","80,00","Fakedaten_2013-04-30","Completed"
"roleder@ruch.com","allgemeine Spende","2009-06-15","16,00","Fakedaten_2013-04-30","Completed"
"roleder@ruch.com","allgemeine Spende","2011-09-13","60,00","Fakedaten_2013-04-30","Completed"
"roleder@ruch.com","allgemeine Spende","2009-05-08","192,00","Fakedaten_2013-04-30","Completed"
"roleder@ruch.com","allgemeine Spende","2008-09-22","60,00","Fakedaten_2013-04-30","Completed"
"roleder@ruch.com","allgemeine Spende","2008-08-31","60,00","Fakedaten_2013-04-30","Completed"
"roleder@ruch.com","allgemeine Spende","2011-03-29","160,00","Fakedaten_2013-04-30","Completed"
"roleder@ruch.com","allgemeine Spende","2010-07-11","34,00","Fakedaten_2013-04-30","Completed"
"manns@caspersmikitenko.ch","allgemeine Spende","2010-08-03","156,00","Fakedaten_2013-04-30","Completed"
"manns@caspersmikitenko.ch","allgemeine Spende","2010-11-04","60,00","Fakedaten_2013-04-30","Completed"
"manns@caspersmikitenko.ch","allgemeine Spende","2011-08-06","174,00","Fakedaten_2013-04-30","Completed"
"manns@caspersmikitenko.ch","allgemeine Spende","2011-05-15","192,00","Fakedaten_2013-04-30","Completed"
"manns@caspersmikitenko.ch","allgemeine Spende","2012-10-20","38,00","Fakedaten_2013-04-30","Completed"
"manns@caspersmikitenko.ch","allgemeine Spende","2009-10-17","80,00","Fakedaten_2013-04-30","Completed"
"manns@caspersmikitenko.ch","allgemeine Spende","2009-07-09","10,00","Fakedaten_2013-04-30","Completed"
"manns@caspersmikitenko.ch","allgemeine Spende","2012-07-31","178,00","Fakedaten_2013-04-30","Completed"
"manns@caspersmikitenko.ch","allgemeine Spende","2009-12-12","10,00","Fakedaten_2013-04-30","Completed"
"manns@caspersmikitenko.ch","allgemeine Spende","2009-04-10","196,00","Fakedaten_2013-04-30","Completed"
"manns@caspersmikitenko.ch","allgemeine Spende","2011-07-01","118,00","Fakedaten_2013-04-30","Completed"
"manns@caspersmikitenko.ch","allgemeine Spende","2009-05-16","32,00","Fakedaten_2013-04-30","Completed"
"manns@caspersmikitenko.ch","allgemeine Spende","2009-05-02","168,00","Fakedaten_2013-04-30","Completed"
"manns@caspersmikitenko.ch","allgemeine Spende","2009-06-26","158,00","Fakedaten_2013-04-30","Completed"
"manns@caspersmikitenko.ch","allgemeine Spende","2010-02-13","28,00","Fakedaten_2013-04-30","Completed"
"manns@caspersmikitenko.ch","allgemeine Spende","2012-01-27","124,00","Fakedaten_2013-04-30","Completed"
"manns@caspersmikitenko.ch","allgemeine Spende","2008-05-28","62,00","Fakedaten_2013-04-30","Completed"
"manns@caspersmikitenko.ch","allgemeine Spende","2010-11-09","118,00","Fakedaten_2013-04-30","Completed"
"manns@caspersmikitenko.ch","allgemeine Spende","2008-12-18","152,00","Fakedaten_2013-04-30","Completed"
"roleder@zimanyi.de","Mitgliedsbeitrag","2013-03-31","50,00","Fakedaten_2013-04-30","Completed"
"roleder@zimanyi.de","Mitgliedsbeitrag","2013-02-28","50,00","Fakedaten_2013-04-30","Completed"
"roleder@zimanyi.de","Mitgliedsbeitrag","2013-02-02","50,00","Fakedaten_2013-04-30","Completed"
"roleder@zimanyi.de","Mitgliedsbeitrag","2013-01-02","50,00","Fakedaten_2013-04-30","Completed"
"roleder@zimanyi.de","Mitgliedsbeitrag","2012-12-01","50,00","Fakedaten_2013-04-30","Completed"
"roleder@zimanyi.de","Mitgliedsbeitrag","2012-11-02","50,00","Fakedaten_2013-04-30","Completed"
"roleder@zimanyi.de","Mitgliedsbeitrag","2012-10-01","50,00","Fakedaten_2013-04-30","Completed"
"roleder@zimanyi.de","Mitgliedsbeitrag","2012-09-02","50,00","Fakedaten_2013-04-30","Completed"
"roleder@zimanyi.de","Mitgliedsbeitrag","2012-08-01","50,00","Fakedaten_2013-04-30","Completed"
"roleder@zimanyi.de","Mitgliedsbeitrag","2012-07-01","50,00","Fakedaten_2013-04-30","Completed"
"roleder@zimanyi.de","Mitgliedsbeitrag","2012-05-31","50,00","Fakedaten_2013-04-30","Completed"
"roleder@zimanyi.de","Mitgliedsbeitrag","2012-05-01","50,00","Fakedaten_2013-04-30","Completed"
"roleder@zimanyi.de","Mitgliedsbeitrag","2012-04-02","50,00","Fakedaten_2013-04-30","Completed"
"roleder@zimanyi.de","Mitgliedsbeitrag","2012-03-01","50,00","Fakedaten_2013-04-30","Completed"
"roleder@zimanyi.de","Mitgliedsbeitrag","2012-02-02","50,00","Fakedaten_2013-04-30","Completed"
"roleder@zimanyi.de","Mitgliedsbeitrag","2012-01-01","50,00","Fakedaten_2013-04-30","Completed"
"roleder@zimanyi.de","Mitgliedsbeitrag","2011-12-01","50,00","Fakedaten_2013-04-30","Completed"
"roleder@zimanyi.de","Mitgliedsbeitrag","2011-11-01","50,00","Fakedaten_2013-04-30","Completed"
"roleder@zimanyi.de","Mitgliedsbeitrag","2011-09-30","50,00","Fakedaten_2013-04-30","Completed"
"roleder@zimanyi.de","Mitgliedsbeitrag","2011-09-01","50,00","Fakedaten_2013-04-30","Completed"
"roleder@zimanyi.de","Mitgliedsbeitrag","2011-08-02","50,00","Fakedaten_2013-04-30","Completed"
"roleder@zimanyi.de","Mitgliedsbeitrag","2011-06-30","50,00","Fakedaten_2013-04-30","Completed"
"roleder@zimanyi.de","Mitgliedsbeitrag","2011-05-31","50,00","Fakedaten_2013-04-30","Completed"
"roleder@zimanyi.de","Mitgliedsbeitrag","2011-05-01","50,00","Fakedaten_2013-04-30","Completed"
"roleder@zimanyi.de","Mitgliedsbeitrag","2011-04-02","50,00","Fakedaten_2013-04-30","Completed"
"roleder@zimanyi.de","Mitgliedsbeitrag","2011-03-02","50,00","Fakedaten_2013-04-30","Completed"
"roleder@zimanyi.de","Mitgliedsbeitrag","2011-02-01","50,00","Fakedaten_2013-04-30","Completed"
"roleder@zimanyi.de","Mitgliedsbeitrag","2011-01-01","50,00","Fakedaten_2013-04-30","Completed"
"roleder@zimanyi.de","Mitgliedsbeitrag","2010-12-02","50,00","Fakedaten_2013-04-30","Completed"
"roleder@zimanyi.de","Mitgliedsbeitrag","2010-10-31","50,00","Fakedaten_2013-04-30","Completed"
"roleder@zimanyi.de","Mitgliedsbeitrag","2010-10-02","50,00","Fakedaten_2013-04-30","Completed"
"roleder@zimanyi.de","Mitgliedsbeitrag","2010-09-02","50,00","Fakedaten_2013-04-30","Completed"
"roleder@zimanyi.de","Mitgliedsbeitrag","2010-08-01","50,00","Fakedaten_2013-04-30","Completed"
"schonberg@matschke.de","allgemeine Spende","2010-06-10","120,00","Fakedaten_2013-04-30","Completed"
"schonberg@matschke.de","allgemeine Spende","2012-06-10","58,00","Fakedaten_2013-04-30","Completed"
"schonberg@matschke.de","allgemeine Spende","2010-07-01","50,00","Fakedaten_2013-04-30","Completed"
"schonberg@matschke.de","allgemeine Spende","2011-07-21","106,00","Fakedaten_2013-04-30","Completed"
"schonberg@matschke.de","allgemeine Spende","2008-06-22","164,00","Fakedaten_2013-04-30","Completed"
"gehrig@ertl.name","Anlassspende","2012-04-22","71600,00","Fakedaten_2013-04-30","Completed"
"sagafe@knabe.org","allgemeine Spende","2011-10-02","170,00","Fakedaten_2013-04-30","Completed"
"sagafe@knabe.org","allgemeine Spende","2011-07-09","50,00","Fakedaten_2013-04-30","Completed"
"sagafe@knabe.org","allgemeine Spende","2009-09-09","18,00","Fakedaten_2013-04-30","Completed"
"sagafe@knabe.org","allgemeine Spende","2010-11-20","104,00","Fakedaten_2013-04-30","Completed"
"sagafe@knabe.org","allgemeine Spende","2011-03-29","82,00","Fakedaten_2013-04-30","Completed"
"sagafe@knabe.org","allgemeine Spende","2012-02-02","44,00","Fakedaten_2013-04-30","Completed"
"sagafe@knabe.org","allgemeine Spende","2013-02-09","128,00","Fakedaten_2013-04-30","Completed"
"sagafe@knabe.org","allgemeine Spende","2009-01-27","80,00","Fakedaten_2013-04-30","Completed"
"sagafe@knabe.org","allgemeine Spende","2010-03-01","94,00","Fakedaten_2013-04-30","Completed"
"sagafe@knabe.org","allgemeine Spende","2011-04-29","8,00","Fakedaten_2013-04-30","Completed"
"kohrt@konigdiezel.de","allgemeine Spende","2012-05-21","90,00","Fakedaten_2013-04-30","Completed"
"kohrt@konigdiezel.de","allgemeine Spende","2011-11-04","64,00","Fakedaten_2013-04-30","Completed"
"kohrt@konigdiezel.de","allgemeine Spende","2011-07-29","104,00","Fakedaten_2013-04-30","Completed"
"kohrt@konigdiezel.de","allgemeine Spende","2013-03-08","128,00","Fakedaten_2013-04-30","Completed"
"kohrt@konigdiezel.de","allgemeine Spende","2011-02-21","146,00","Fakedaten_2013-04-30","Completed"
"kohrt@konigdiezel.de","allgemeine Spende","2010-07-19","114,00","Fakedaten_2013-04-30","Completed"
"reinberg@hechlerjahnke.com","allgemeine Spende","2012-11-11","12000,00","Fakedaten_2013-04-30","Completed"
"reinberg@hechlerjahnke.com","allgemeine Spende","2009-11-17","10000,00","Fakedaten_2013-04-30","Completed"
"reinberg@hechlerjahnke.com","allgemeine Spende","2013-04-24","15000,00","Fakedaten_2013-04-30","Completed"
"reinberg@hechlerjahnke.com","allgemeine Spende","2011-08-23","13000,00","Fakedaten_2013-04-30","Completed"
"metzner@dauthschwarzer.org","allgemeine Spende","2011-08-12","112,00","Fakedaten_2013-04-30","Completed"
"metzner@dauthschwarzer.org","allgemeine Spende","2011-03-16","104,00","Fakedaten_2013-04-30","Completed"
"metzner@dauthschwarzer.org","allgemeine Spende","2011-12-01","92,00","Fakedaten_2013-04-30","Completed"
"metzner@dauthschwarzer.org","allgemeine Spende","2011-01-13","196,00","Fakedaten_2013-04-30","Completed"
"metzner@dauthschwarzer.org","allgemeine Spende","2009-02-27","116,00","Fakedaten_2013-04-30","Completed"
"metzner@dauthschwarzer.org","allgemeine Spende","2011-04-24","2,00","Fakedaten_2013-04-30","Completed"
"metzner@dauthschwarzer.org","allgemeine Spende","2010-04-30","118,00","Fakedaten_2013-04-30","Completed"
"metzner@dauthschwarzer.org","allgemeine Spende","2010-09-22","146,00","Fakedaten_2013-04-30","Completed"
"metzner@dauthschwarzer.org","allgemeine Spende","2012-04-13","40,00","Fakedaten_2013-04-30","Completed"
"balcer@briesenick.org","allgemeine Spende","2010-04-01","70,00","Fakedaten_2013-04-30","Completed"
"balcer@briesenick.org","allgemeine Spende","2009-02-07","4,00","Fakedaten_2013-04-30","Completed"
"balcer@briesenick.org","allgemeine Spende","2010-07-01","94,00","Fakedaten_2013-04-30","Completed"
"balcer@briesenick.org","allgemeine Spende","2008-06-09","160,00","Fakedaten_2013-04-30","Completed"
"balcer@briesenick.org","allgemeine Spende","2010-05-14","112,00","Fakedaten_2013-04-30","Completed"
"balcer@briesenick.org","allgemeine Spende","2012-03-17","178,00","Fakedaten_2013-04-30","Completed"
"balcer@briesenick.org","allgemeine Spende","2009-02-07","176,00","Fakedaten_2013-04-30","Completed"
"balcer@briesenick.org","allgemeine Spende","2011-07-18","134,00","Fakedaten_2013-04-30","Completed"
"balcer@briesenick.org","allgemeine Spende","2013-04-04","70,00","Fakedaten_2013-04-30","Completed"
"balcer@briesenick.org","allgemeine Spende","2008-12-09","184,00","Fakedaten_2013-04-30","Completed"
"balcer@briesenick.org","allgemeine Spende","2011-04-02","20,00","Fakedaten_2013-04-30","Completed"
"balcer@briesenick.org","allgemeine Spende","2012-07-19","138,00","Fakedaten_2013-04-30","Completed"
"balcer@briesenick.org","allgemeine Spende","2012-04-18","150,00","Fakedaten_2013-04-30","Completed"
"balcer@briesenick.org","allgemeine Spende","2008-06-28","96,00","Fakedaten_2013-04-30","Completed"
"balcer@briesenick.org","allgemeine Spende","2009-07-24","156,00","Fakedaten_2013-04-30","Completed"
"balcer@briesenick.org","allgemeine Spende","2009-12-27","78,00","Fakedaten_2013-04-30","Completed"
"balcer@briesenick.org","allgemeine Spende","2013-02-17","20,00","Fakedaten_2013-04-30","Completed"
"balcer@briesenick.org","allgemeine Spende","2010-06-27","78,00","Fakedaten_2013-04-30","Completed"
"balcer@briesenick.org","allgemeine Spende","2009-06-05","30,00","Fakedaten_2013-04-30","Completed"
"balcer@briesenick.org","allgemeine Spende","2012-08-03","176,00","Fakedaten_2013-04-30","Completed"
"balcer@briesenick.org","allgemeine Spende","2012-06-08","56,00","Fakedaten_2013-04-30","Completed"
"balcer@briesenick.org","allgemeine Spende","2011-11-06","22,00","Fakedaten_2013-04-30","Completed"
"balcer@briesenick.org","allgemeine Spende","2009-03-19","50,00","Fakedaten_2013-04-30","Completed"
"balcer@briesenick.org","allgemeine Spende","2012-08-31","102,00","Fakedaten_2013-04-30","Completed"
"balcer@briesenick.org","allgemeine Spende","2011-03-25","132,00","Fakedaten_2013-04-30","Completed"
"balcer@briesenick.org","allgemeine Spende","2012-05-31","94,00","Fakedaten_2013-04-30","Completed"
"balcer@briesenick.org","allgemeine Spende","2009-11-02","162,00","Fakedaten_2013-04-30","Completed"
"balcer@briesenick.org","allgemeine Spende","2010-11-22","72,00","Fakedaten_2013-04-30","Completed"
"balcer@briesenick.org","allgemeine Spende","2010-03-23","112,00","Fakedaten_2013-04-30","Completed"
"fincke@kirst.de","allgemeine Spende","2009-01-22","162,00","Fakedaten_2013-04-30","Completed"
"fincke@kirst.de","allgemeine Spende","2009-08-03","198,00","Fakedaten_2013-04-30","Completed"
"fincke@kirst.de","allgemeine Spende","2011-11-14","54,00","Fakedaten_2013-04-30","Completed"
"stephan@schacht.name","allgemeine Spende","2013-01-02","186,00","Fakedaten_2013-04-30","Completed"
"stephan@schacht.name","allgemeine Spende","2010-05-22","14,00","Fakedaten_2013-04-30","Completed"
"stephan@schacht.name","allgemeine Spende","2008-06-01","198,00","Fakedaten_2013-04-30","Completed"
"stephan@schacht.name","allgemeine Spende","2009-03-13","108,00","Fakedaten_2013-04-30","Completed"
"stephan@schacht.name","allgemeine Spende","2012-11-14","184,00","Fakedaten_2013-04-30","Completed"
"stephan@schacht.name","allgemeine Spende","2010-05-07","178,00","Fakedaten_2013-04-30","Completed"
"stephan@schacht.name","allgemeine Spende","2009-08-25","128,00","Fakedaten_2013-04-30","Completed"
"stephan@schacht.name","allgemeine Spende","2008-10-19","118,00","Fakedaten_2013-04-30","Completed"
"stephan@schacht.name","allgemeine Spende","2009-03-09","12,00","Fakedaten_2013-04-30","Completed"
